mesh_id	topl
D006379	F03
D006391	C04
D006394	C04
D006395	C05
D006395	C23
D006396	C06
D006396	C23
D006400	OTH
D006402	C15
D006406	C23
D006407	C10
D006407	C14
D006407	C23
D006408	C10
D006408	C14
D006408	C23
D006417	C23
D006423	C10
D006423	C11
D006423	C23
D006425	C15
D006429	C10
D006429	C23
D006431	C23
D006432	C16
D006432	C18
D006435	OTH
D006442	OTH
D006454	OTH
D006456	C23
D006457	C15
D006461	C23
D006463	C15
D006465	C06
D006465	C23
D006467	C15
D006467	C16
D006469	C08
D006469	C23
D006470	C23
D006471	C06
D006471	C23
D006472	C23
D006473	C23
D006474	C15
D006482	C01
D006484	C06
D006484	C14
D006487	OTH
D006491	C08
D006491	C23
D006501	C06
D006501	C10
D006501	C18
D006502	C06
D006502	C14
D006504	C06
D006504	C14
D006505	C06
D006506	C01
D006506	C06
D006509	C01
D006509	C06
D006519	C06
D006521	C06
D006525	C01
D006525	C06
D006526	C01
D006526	C06
D006527	C06
D006527	C10
D006527	C16
D006527	C18
D006528	C04
D006529	C06
D006529	C23
D006530	C06
D006547	C23
D006548	C23
D006550	C23
D006551	C23
D006552	C23
D006554	C16
D006554	C23
D006555	C23
D006557	C01
D006558	C01
D006560	C01
D006560	C17
D006561	C01
D006561	C17
D006562	C01
D006563	C01
D006563	C11
D006566	C01
D006606	C23
D006617	C05
D006618	C05
D006618	C16
D006620	OTH
D006623	C10
D006623	C14
D006623	C16
D006627	C06
D006627	C16
D006628	C17
D006628	C23
D006646	C08
D006646	C15
D006660	C01
D006678	C01
D006681	OTH
D006685	C08
D006685	C10
D006685	C23
D006689	C04
D006712	C10
D006712	C16
D006712	C17
D006712	C18
D006716	F03
D006726	C01
D006726	C11
D006732	C10
D006732	C11
D006732	C23
D006791	F03
D006810	OTH
D006815	C06
D006815	F03
D006816	C10
D006816	C16
D006816	F03
D006828	C04
D006831	OTH
D006832	C10
D006832	C16
D006833	C05
D006848	OTH
D006849	C10
D006850	C10
D006854	OTH
D006869	OTH
D006871	C11
D006871	C16
D006876	C08
D006879	OTH
D006886	OTH
D006929	C19
D006930	C10
D006930	C23
D006932	C23
D006934	C18
D006935	C23
D006937	C18
D006938	C16
D006938	C18
D006939	C23
D006940	C14
D006941	C10
D006941	C23
D006942	C15
D006942	C20
D006942	C23
D006943	C18
D006944	C19
D006945	C17
D006946	C18
D006947	C18
D006948	C10
D006948	C23
D006949	C18
D006950	C16
D006950	C18
D006951	C18
D006954	C16
D006954	C18
D006955	C18
D006956	C11
D006958	C05
D006958	C16
D006959	OTH
D006960	C16
D006960	C18
D006961	C19
D006962	C19
D006963	C23
D006965	C23
D006966	C10
D006966	C19
D006967	C20
D006968	C20
D006969	C20
D006970	C10
D006970	F03
D006971	C15
D006972	C05
D006972	C16
D006973	C14
D006974	C14
D006975	C06
D006976	C08
D006976	C14
D006978	C14
D006980	C19
D006981	C19
D006983	C17
D006984	C23
D006985	C08
D006985	C23
D006986	C18
D006987	C10
D006987	C23
D006988	C11
D006988	C23
D006994	C19
D006995	C16
D006995	C18
D006996	C18
D006998	F03
D007003	C18
D007006	C19
D007007	C17
D007008	C18
D007010	C18
D007011	C19
D007014	C16
D007014	C18
D007018	C10
D007018	C19
D007019	C15
D007020	C15
D007020	C16
D007021	C16
D007022	C14
D007024	C10
D007024	C14
D007035	C23
D007037	C19
D007039	C17
D007040	C08
D007040	C23
D007044	OTH
D007046	F03
D007052	OTH
D007057	C16
D007057	C17
D007074	OTH
D007079	C06
D007088	C10
D007088	C23
D007109	C20
D007119	C15
D007119	C20
D007136	OTH
D007147	OTH
D007153	C20
D007154	C20
D007160	C20
D007165	OTH
D007169	C01
D007169	C17
D007172	F03
D007174	F03
D007177	C10
D007177	C18
D007177	C19
D007182	OTH
